iter	Passed	Remaining
620	1027	626
621	1028	625
622	1029	623
623	1031	621
624	1032	619
625	1034	617
626	1035	615
627	1036	613
628	1037	612
629	1038	610
630	1040	608
631	1041	606
632	1042	604
633	1043	602
634	1044	600
635	1046	598
636	1047	596
637	1048	594
638	1049	592
639	1050	591
640	1052	589
641	1053	587
642	1054	585
643	1055	583
644	1056	581
645	1057	579
646	1059	577
647	1060	576
648	1061	574
649	1062	572
650	1064	570
651	1066	569
652	1067	567
653	1069	565
654	1070	564
655	1072	562
656	1074	560
657	1075	559
658	1077	557
659	1079	556
660	1081	554
661	1082	552
662	1084	551
663	1085	549
664	1087	547
665	1088	545
666	1089	544
667	1091	542
668	1092	540
669	1094	539
670	1095	537
671	1097	535
672	1098	533
673	1100	532
674	1101	530
675	1103	528
676	1104	527
677	1106	525
678	1107	523
679	1109	522
680	1110	520
681	1112	518
682	1113	516
683	1115	515
684	1116	513
685	1117	511
686	1119	509
687	1120	508
688	1121	506
689	1123	504
690	1125	503
691	1126	501
692	1128	499
693	1129	498
694	1131	496
695	1133	494
696	1135	493
697	1136	491
698	1137	489
699	1138	488
700	1139	486
701	1141	484
702	1142	482
703	1143	480
704	1144	479
705	1145	477
706	1147	475
707	1148	473
708	1149	471
709	1151	470
710	1152	468
711	1153	466
712	1154	464
713	1156	463
714	1157	461
715	1158	459
716	1159	457
717	1161	456
718	1162	454
719	1163	452
720	1164	450
721	1166	448
722	1167	447
723	1168	445
724	1169	443
725	1170	441
726	1172	440
727	1173	438
728	1174	436
729	1175	434
730	1177	433
731	1178	431
732	1179	429
733	1181	427
734	1182	426
735	1183	424
736	1184	422
737	1185	421
738	1187	419
739	1188	417
740	1189	415
741	1190	414
742	1191	412
743	1193	410
744	1194	408
745	1195	407
746	1196	405
747	1198	403
748	1199	402
749	1200	400
750	1202	398
751	1203	396
752	1204	395
753	1205	393
754	1206	391
755	1207	389
756	1209	388
757	1210	386
758	1211	384
759	1212	382
760	1214	381
761	1215	379
762	1216	377
763	1217	376
764	1219	374
765	1220	372
766	1221	371
767	1222	369
768	1223	367
769	1225	366
770	1226	364
771	1227	362
772	1229	360
773	1230	359
774	1231	357
775	1232	355
776	1233	354
777	1235	352
778	1236	350
779	1237	349
780	1238	347
781	1240	345
782	1241	344
783	1242	342
784	1243	340
785	1244	338
786	1246	337
787	1247	335
788	1248	333
789	1249	332
790	1250	330
791	1252	328
792	1253	327
793	1254	325
794	1255	323
795	1257	322
796	1258	320
797	1259	318
798	1261	317
799	1262	315
800	1263	313
801	1265	312
802	1266	310
803	1267	308
804	1268	307
805	1269	305
806	1270	303
807	1272	302
808	1273	300
809	1274	299
810	1275	297
811	1277	295
812	1278	294
813	1279	292
814	1280	290
815	1282	289
816	1283	287
817	1284	285
818	1285	284
819	1287	282
820	1288	280
821	1289	279
822	1290	277
823	1292	276
824	1293	274
825	1294	272
826	1295	271
827	1297	269
828	1298	267
829	1299	266
830	1301	264
831	1302	262
832	1303	261
833	1304	259
834	1305	258
835	1307	256
836	1308	254
837	1309	253
838	1310	251
839	1312	249
840	1313	248
841	1314	246
842	1316	245
843	1317	243
844	1318	241
845	1319	240
846	1320	238
847	1322	236
848	1323	235
849	1324	233
850	1325	232
851	1327	230
852	1328	228
853	1329	227
854	1331	225
855	1332	224
856	1333	222
857	1334	220
858	1336	219
859	1337	217
860	1338	216
861	1339	214
862	1340	212
863	1342	211
864	1343	209
865	1344	208
866	1345	206
867	1346	204
868	1348	203
869	1349	201
870	1350	200
871	1351	198
872	1353	196
873	1354	195
874	1356	193
875	1357	192
876	1358	190
877	1359	188
878	1360	187
879	1362	185
880	1363	184
881	1364	182
882	1365	180
883	1367	179
884	1368	177
885	1369	176
886	1371	174
887	1372	173
888	1373	171
889	1374	169
890	1376	168
891	1377	166
892	1378	165
893	1379	163
894	1381	162
895	1382	160
896	1383	158
897	1384	157
898	1385	155
899	1387	154
900	1388	152
901	1389	150
902	1390	149
903	1391	147
904	1393	146
905	1394	144
906	1395	143
907	1396	141
908	1397	139
909	1399	138
910	1400	136
911	1401	135
912	1402	133
913	1403	132
914	1405	130
915	1406	128
916	1407	127
917	1408	125
918	1410	124
919	1411	122
920	1412	121
921	1413	119
922	1414	118
923	1415	116
924	1417	114
925	1418	113
926	1419	111
927	1420	110
928	1422	108
929	1423	107
930	1424	105
931	1425	104
932	1426	102
933	1428	100
934	1429	99
935	1430	97
936	1432	96
937	1433	94
938	1434	93
939	1435	91
940	1436	90
941	1438	88
942	1439	87
943	1440	85
944	1441	83
945	1443	82
946	1444	80
947	1445	79
948	1446	77
949	1448	76
950	1449	74
951	1450	73
952	1451	71
953	1453	70
954	1454	68
955	1455	66
956	1456	65
957	1457	63
958	1458	62
959	1460	60
960	1461	59
961	1462	57
962	1463	56
963	1464	54
964	1466	53
965	1467	51
966	1468	50
967	1469	48
968	1471	47
969	1472	45
970	1473	44
971	1474	42
972	1475	40
973	1477	39
974	1478	37
975	1480	36
976	1481	34
977	1483	33
978	1484	31
979	1485	30
980	1487	28
981	1488	27
982	1489	25
983	1490	24
984	1492	22
985	1493	21
986	1494	19
987	1495	18
988	1496	16
989	1498	15
990	1499	13
991	1500	12
992	1501	10
993	1504	9
994	1506	7
995	1507	6
996	1508	4
997	1509	3
998	1511	1
999	1512	0
